School,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Notre Dame,Markus Burton,3,SO,G,5-11,166,Mishawka IN,Penn (IN),,21.3 Pts 3.6 Reb 3.0 Ast,markus-burton-1
Notre Dame,Tae Davis,7,JR,F,6-9,204,Indianapolis IN,Warren Central (IN),,15.1 Pts 5.3 Reb 1.8 Ast,tae-davis-1
Notre Dame,Braeden Shrewsberry,11,SO,G,6-3,189,State College PA,State College (PA),,14.0 Pts 3.0 Reb 1.6 Ast,braeden-shrewsberry-1
Notre Dame,Matt Allocco,41,SR,G,6-4,200,Hilliard OH,Hilliard Bradley HS,,9.5 Pts 4.4 Reb 2.7 Ast,matt-allocco-1
Notre Dame,Kebba Njie,14,JR,F,6-10,237,Centerville OH,Centerville (OH); La Lumiere (IN),,6.1 Pts 5.9 Reb 0.5 Ast,kebba-njie-1
Notre Dame,J.R. Konieczny,20,SR,G,6-6,195,South Bend IN,St. Joseph (IN),,4.3 Pts 2.8 Reb 0.8 Ast,jr-konieczny-1
Notre Dame,Nikita Konstantynovskyi,25,SR,C,6-10,235,Kyiv Ukraine,Secondary School No. 163 (Ukraine),,2.9 Pts 4.0 Reb 0.2 Ast,nikita-konstantynovskyi-1
Notre Dame,Julian Roper,1,SR,G,6-3,180,Detroit MI,St. Mary's (MI),,2.2 Pts 2.3 Reb 0.7 Ast,julian-roperii-1
Notre Dame,Sir Mohammed,4,FR,G,6-6,200,Charlotte NC,Myers Park (NC),59 (2024),3.1 Pts 1.9 Reb 1.0 Ast,sir-mohammed-1
Notre Dame,Logan Imes,2,SO,G,6-4,189,Zionsville IN,Zionsville (IN),,1.9 Pts 1.0 Reb 0.6 Ast,logan-imes-1
Notre Dame,Garrett Sundra,12,FR,F,6-11,210,Ashburn VA,Paul VI Catholic (VA),,2.3 Pts 1.5 Reb 0.3 Ast,garrett-sundra-1
Notre Dame,Cole Certa,5,FR,G,6-5,185,Le Roy IL,Bloomington Central Catholic (IL); IMG Academy (FL),,2.5 Pts 0.2 Reb 0.3 Ast,cole-certa-1
Notre Dame,Burke Chebuhar,21,SR,F,6-8,230,Marietta GA,The Walker School,,2.9 Pts 1.3 Reb 0.4 Ast,burke-chebuhar-1
Notre Dame,Thomas Crowe,22,SR,F,6-7,220,Macdonia OH,Archbishop Hoban (OH),,0.0 Pts 0.0 Reb 0.0 Ast,thomas-crowe-1
Notre Dame,Thomas Hattan,15,JR,G,6-2,180,San Clemente CA,San Juan Hills (CA),,0.0 Pts 0.0 Reb 0.0 Ast,thomas-hattan-1
Notre Dame,JT Kelly,10,JR,G,6-2,180,Ponte Vedra Beach FL,Ponte Vedra (FL),,0.0 Pts 0.0 Reb 0.0 Ast,jt-kelly-1
Virginia Tech,Toibu Lawal,1,JR,F,6-8,200,London United Kingdom,City of London Academy (England); Lee Academy (ME),,12.4 Pts 7.0 Reb 0.9 Ast,toibu-lawal-1
Virginia Tech,Mylyjael Poteat,34,SR,F,6-9,260,Reidsville NC,The Burlington School,,9.5 Pts 3.8 Reb 1.1 Ast,mylyjael-poteat-1
Virginia Tech,Jaydon Young,3,SO,G,6-4,205,Goldsboro NC,Greensboro Day (NC),,8.1 Pts 1.7 Reb 1.4 Ast,jaydon-young-1
Virginia Tech,Jaden Schutt,2,SO,G,6-5,185,Yorkville IL,Yorkville Christian (IL),59 (2022),7.7 Pts 2.8 Reb 1.5 Ast,jaden-schutt-1
Virginia Tech,Ben Burnham,13,SR,F,6-7,200,Fort Mill SC,Carmel Christian School,,7.5 Pts 3.9 Reb 0.9 Ast,ben-burnham-1
Virginia Tech,Brandon Rechsteiner,7,SO,G,6-1,185,Acworth GA,Etowah (GA),,7.0 Pts 1.0 Reb 2.8 Ast,brandon-rechsteiner-1
Virginia Tech,Tyler Johnson,10,FR,G,6-5,215,Orlando FL,Oak Ridge (FL),,6.7 Pts 4.8 Reb 1.0 Ast,tyler-johnson-6
Virginia Tech,Ben Hammond,11,FR,G,5-11,170,Fairfax VA,Paul VI (VA),,5.6 Pts 1.7 Reb 2.1 Ast,ben-hammond-1
Virginia Tech,Patrick Wessler,5,SO,C,7-0,245,Matthews NC,Butler (NC); Combine Academy (NC),,3.9 Pts 2.9 Reb 0.2 Ast,patrick-wessler-1
Virginia Tech,Rodney Brown,4,SO,G,6-6,180,Perris CA,Rancho Christian (CA),,4.1 Pts 2.1 Reb 1.8 Ast,rodney-brown-jr-1
Virginia Tech,Ryan Jones,21,FR,F,6-8,240,Gainesville FL,The Rock School (FL),82 (2024),1.2 Pts 0.4 Reb 0.0 Ast,ryan-jones-jr-1
Virginia Tech,Connor Serven,22,SR,F,6-9,215,Bushnell IL,St. Rita HS,,0.3 Pts 0.6 Reb 0.0 Ast,connor-serven-1
Virginia Tech,Conner Venable,9,SO,G,6-3,190,Washington DC,The Heights School (MD),,0.3 Pts 0.0 Reb 0.0 Ast,conner-venable-1
Virginia Tech,Peter Carr,8,FR,G,6-5,205,Philadelphia PA,West Chester East (PA),,0.0 Pts 0.0 Reb 0.0 Ast,peter-carr-1
Syracuse ,JJ Starling,2,JR,G,6-4,200,Baldwinsville NY,Baker (NY); La Lumiere (IN),21 (2022),17.8 Pts 3.8 Reb 2.8 Ast,jj-starling-1
Syracuse ,Eddie Lampkin,44,SR,C,6-11,300,Katy TX,Morton Ranch HS,,11.5 Pts 9.6 Reb 2.1 Ast,eddie-lampkinjr-1
Syracuse ,Jyare Davis,13,SR,F,6-7,215,Newark DE,Sanford HS,,9.4 Pts 4.9 Reb 1.4 Ast,jyare-davis-1
